ID,NAME,BATTING_Tests_Mat,BATTING_Tests_Inns,BATTING_Tests_NO,BATTING_Tests_Runs,BATTING_Tests_HS,BATTING_Tests_Ave,BATTING_Tests_BF,BATTING_Tests_SR,BATTING_Tests_100,BATTING_Tests_50,BATTING_ODIs_Mat,BATTING_ODIs_Inns,BATTING_ODIs_NO,BATTING_ODIs_Runs,BATTING_ODIs_HS,BATTING_ODIs_Ave,BATTING_ODIs_BF,BATTING_ODIs_SR,BATTING_ODIs_100,BATTING_ODIs_50,BATTING_T20Is_Mat,BATTING_T20Is_Inns,BATTING_T20Is_NO,BATTING_T20Is_Runs,BATTING_T20Is_HS,BATTING_T20Is_Ave,BATTING_T20Is_BF,BATTING_T20Is_SR,BATTING_T20Is_100,BATTING_T20Is_50,BATTING_First-class_Mat,BATTING_First-class_Inns,BATTING_First-class_NO,BATTING_First-class_Runs,BATTING_First-class_HS,BATTING_First-class_Ave,BATTING_First-class_BF,BATTING_First-class_SR,BATTING_First-class_100,BATTING_First-class_50,BATTING_T20s_Mat,BATTING_T20s_Inns,BATTING_T20s_NO,BATTING_T20s_Runs,BATTING_T20s_HS,BATTING_T20s_Ave,BATTING_T20s_BF,BATTING_T20s_SR,BATTING_T20s_100,BATTING_T20s_50,BOWLING_Tests_Mat,BOWLING_Tests_Inns,BOWLING_Tests_Balls,BOWLING_Tests_Runs,BOWLING_Tests_Wkts,BOWLING_Tests_Ave,BOWLING_Tests_Econ,BOWLING_Tests_SR,BOWLING_ODIs_Mat,BOWLING_ODIs_Inns,BOWLING_ODIs_Balls,BOWLING_ODIs_Runs,BOWLING_ODIs_Wkts,BOWLING_ODIs_Ave,BOWLING_ODIs_Econ,BOWLING_ODIs_SR,BOWLING_T20Is_Mat,BOWLING_T20Is_Inns,BOWLING_T20Is_Balls,BOWLING_T20Is_Runs,BOWLING_T20Is_Wkts,BOWLING_T20Is_BBI,BOWLING_T20Is_BBM,BOWLING_T20Is_Ave,BOWLING_T20Is_Econ,BOWLING_T20Is_SR,BOWLING_T20Is_4w,BOWLING_T20s_Mat,BOWLING_T20s_Inns,BOWLING_T20s_Balls,BOWLING_T20s_Runs,BOWLING_T20s_Wkts,BOWLING_T20s_BBI,BOWLING_T20s_BBM,BOWLING_T20s_Ave,BOWLING_T20s_Econ,BOWLING_T20s_SR
1060201,Ashok Sandhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,2,6,6*,2,65,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26748,Ashok Pal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,1,1,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26569,Kaithy Ashok Raj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,0,114,43,13,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26352,Ashok Pal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30684,Ashok Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,7,7*,7,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26192,Ashok Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,21,21,7,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26390,Vellattu Ashok Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26749,Poll Ashokanand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,94,4,2410,109,27,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26469,V Ashok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26425,T Ashok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155406,N Ashok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26571,Chiraki Ashok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,22,4,399,50*,22,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26747,Ashok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,5,4,3,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54206,Ashita Baithur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340857,Ashish Yadav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,48,5,1078,86,25,2048,53,0,10,36,28,8,422,51,21,347,122,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,29,468,554,20,Apr-32,Apr-32,28,7,23
924519,Ashish Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,18,0,466,101,26,912,51,1,2,9,8,0,83,32,10,91,91,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,54,57,4,44235,44235,14,6,14
26303,Ashish Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389605,Ashish Reddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,28,2,987,104,38,1468,67,1,9,77,62,15,637,37,14,502,127,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,54,940,1255,57,44308,44308,22,8,16
1108251,Ashish Rawat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107437,Ashish Rawat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536582,Ashish Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,29,9,113,25,6,371,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135332,S Ashish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961367,Bhanushali Ashish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082482,Ashish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26165,Ashique Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,1,77,55,19,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26397,Ashim Gupta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26568,Ashfaq Rahim Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,13,1,233,91,19,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26746,Ashfaq Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,2,2,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26745,Kiran Ashar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,1,306,105,38,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26744,Ashanul Haque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,4,4,4,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960939,Sobhana Asha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26743,Hakumatrai Asha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,3,220,50*,37,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550687,Sorhana Asha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54151,Asha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26742,Asghar Latif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11,0,187,35,17,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26741,Asghar Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175474,Asfan Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,70,25,12,106,66,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,-,-,-,-,-,-,-,-,-
26567,Amit Asawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,42,5,1125,128,30,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081245,Asad Pathan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26738,Asad Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,64,50,21,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26301,Asadullah Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427482,Mohammad Asaduddin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,17,15,6,49,35,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26737,S Arya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,3,67,21*,11,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26374,Rohit Arya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175456,Priyansh Arya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26736,Pramod Arya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,31,2,686,63*,24,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26566,Mukesh Arya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,21,2,380,39,20,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26540,Arvind Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,2,2,2*,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26205,Gangashetty Arvind Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,72,3,2141,141,31,,,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26780,Arvind Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,77,46,19,237,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475226,Narayan Arvinda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26542,Vemulapally Arvind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,19,8,125,17*,11,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777521,S Arvind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26541,Dharmapuri Arvind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,32,17,16,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26735,TP Aruvumudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,13,13,7,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26300,Arun Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,2,65,28,7,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26298,Arun Sharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,3,45,11,9,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422866,Arun Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,1,1,6,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152993,GK Arun Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529437,Arun Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,60,62,3,44214,44214,21,6,20
1154337,K Arun Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26294,A Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107343,Arun Kataria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26436,Arunlal Yadav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26734,S Arunkumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,3,55,27*,28,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26565,Krishnan Arunkumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,4,270,95*,30,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26291,Jagadeesh Arunkumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,176,8,7208,178,43,,,20,36,7,7,0,79,31,11,78,101,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,-,-,-,-,-,-,-,-,-
26349,Elumalai ARun Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319745,Arun Karthik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,122,11,4021,151,36,7751,52,8,21,69,58,13,870,76*,19,697,125,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,2,24,44,2,44209,44209,22,11,12
981691,S Arunachalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26733,M Arunachalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,86,37,22,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338285,KV Arunachalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777485,Vijayachandran Arun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048843,S Arun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26732,Dhimant Arun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,40,2,794,98,21,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048769,B Arun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26292,Vatsala Arun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26333,Vijayakumar Arun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26731,V Aruldass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,1,23,10,5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26415,Arthur Arthur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,26,21,13,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125976,Arshdeep Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057391,Arshdeep Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26539,Arshad Jaan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,18,9,5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916917,Arsdeep Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26730,G Arratoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,79,56,13,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26729,Arram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,10,6*,10,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060246,Arpit Pannu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,1,29,18,10,135,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54033,Arpita Patel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53994,Arpita Mohanty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26289,Tushar Arothe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,176,12,6105,171,37,,,13,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642539,Rishi Arothe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,2,105,63,15,165,64,0,1,36,9,5,14,5*,4,17,82,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,35,660,881,34,44304,44304,26,8,19
26287,AN Aroskar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175439,Sanyam Arora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961025,Rewa Arora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26286,Ravi Arora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26564,Rajiv Arora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,1,200,110*,33,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442484,Reva Arora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26379,N Arora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26538,Kapila Arora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527360,Harsha Arora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26334,Gaurav Arora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26563,Devender Arora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,15,1,372,113,27,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081187,Abhay Arora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26345,Villipalayam Aron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26728,Sheshil Arolkar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,17,0,419,89,25,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26471,Deepak Arolkar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26562,Anil Arolkar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12,1,150,28,14,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169777,Arnav Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926657,Arnab Bhattacharjee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26414,Hugo Armitage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,6,6,3,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081224,Arman Malik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960369,Armaan Jaffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,0,55,21,6,194,28,0,0,1,1,0,27,27,27,16,169,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,-,-,-,-,-,-,-,-
26727,Arjun Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,16,3,444,122,34,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26369,Arjun Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,21,13,5,70,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477358,Arjun Hoysala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079381,Arjun Gupta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175464,Arjun Azad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26793,Arjun Sarathy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,4,2,4,51,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26464,S Arjun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425945,Nanda Kumar Arjun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26283,Munagala Praneet Arjun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,38,4,477,71,14,1369,35,0,1,8,6,2,18,7,5,19,95,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,121,157,2,44252,44252,79,8,61
