ID,NAME,BATTING_Tests_Mat,BATTING_Tests_Inns,BATTING_Tests_NO,BATTING_Tests_Runs,BATTING_Tests_HS,BATTING_Tests_Ave,BATTING_Tests_BF,BATTING_Tests_SR,BATTING_Tests_100,BATTING_Tests_50,BATTING_ODIs_Mat,BATTING_ODIs_Inns,BATTING_ODIs_NO,BATTING_ODIs_Runs,BATTING_ODIs_HS,BATTING_ODIs_Ave,BATTING_ODIs_BF,BATTING_ODIs_SR,BATTING_ODIs_100,BATTING_ODIs_50,BATTING_T20Is_Mat,BATTING_T20Is_Inns,BATTING_T20Is_NO,BATTING_T20Is_Runs,BATTING_T20Is_HS,BATTING_T20Is_Ave,BATTING_T20Is_BF,BATTING_T20Is_SR,BATTING_T20Is_100,BATTING_T20Is_50,BATTING_First-class_Mat,BATTING_First-class_Inns,BATTING_First-class_NO,BATTING_First-class_Runs,BATTING_First-class_HS,BATTING_First-class_Ave,BATTING_First-class_BF,BATTING_First-class_SR,BATTING_First-class_100,BATTING_First-class_50,BATTING_T20s_Mat,BATTING_T20s_Inns,BATTING_T20s_NO,BATTING_T20s_Runs,BATTING_T20s_HS,BATTING_T20s_Ave,BATTING_T20s_BF,BATTING_T20s_SR,BATTING_T20s_100,BATTING_T20s_50,BOWLING_Tests_Mat,BOWLING_Tests_Inns,BOWLING_Tests_Balls,BOWLING_Tests_Runs,BOWLING_Tests_Wkts,BOWLING_Tests_Ave,BOWLING_Tests_Econ,BOWLING_Tests_SR,BOWLING_ODIs_Mat,BOWLING_ODIs_Inns,BOWLING_ODIs_Balls,BOWLING_ODIs_Runs,BOWLING_ODIs_Wkts,BOWLING_ODIs_Ave,BOWLING_ODIs_Econ,BOWLING_ODIs_SR,BOWLING_T20Is_Mat,BOWLING_T20Is_Inns,BOWLING_T20Is_Balls,BOWLING_T20Is_Runs,BOWLING_T20Is_Wkts,BOWLING_T20Is_BBI,BOWLING_T20Is_BBM,BOWLING_T20Is_Ave,BOWLING_T20Is_Econ,BOWLING_T20Is_SR,BOWLING_T20Is_4w,BOWLING_T20s_Mat,BOWLING_T20s_Inns,BOWLING_T20s_Balls,BOWLING_T20s_Runs,BOWLING_T20s_Wkts,BOWLING_T20s_BBI,BOWLING_T20s_BBM,BOWLING_T20s_Ave,BOWLING_T20s_Econ,BOWLING_T20s_SR
30102,Zaheer Khan,92,127,24,1231,75,12,2381,52,0,3,200,101,35,792,34*,12,1078,73,0,0,17,4,2,13,9,7,10,130,0,0,169,223,40,2489,75,14,,,0,5,138,49,27,191,26,9,221,86,0,0,92,165,18785,10247,311,33,3,60,200,197,10097,8301,282,29,5,36,17,17,352,448,17,44305,44305,26,8,21,1,138,137,3044,3802,139,44303,44303,27,7,22
35712,Gundappa Viswanath,91,155,10,6080,222,42,,,14,35,25,23,1,439,75,20,830,53,0,2,,,,,,,,,,,308,486,47,17970,247,41,,,44,89,,,,,,,,,,,91,7,70,46,1,46,4,70,25,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,
28081,MS Dhoni,90,144,16,4876,224,38,8249,59,6,33,341,289,82,10500,183*,51,11992,88,10,71,98,85,42,1617,56,38,1282,126,0,2,131,210,19,7038,224,37,,,9,47,303,271,110,6205,79*,39,4573,136,0,24,90,7,96,67,0,-,4,-,341,2,36,31,1,31,5,36,98,-,-,-,-,-,-,-,-,-,-,303,1,12,25,0,-,-,-,13,-
236779,Ishant Sharma,90,124,43,627,31*,8,2211,28,0,0,80,28,13,72,13,5,203,35,0,0,14,3,2,8,5*,8,9,89,0,0,132,168,62,889,66,8,2954,30,0,1,120,30,22,55,9,7,75,73,0,0,90,161,17196,9155,267,34,3,64,80,78,3733,3563,115,31,6,32,14,14,278,400,8,Feb-34,Feb-34,50,9,35,0,120,120,2575,3356,93,44328,44328,36,8,28
30116,Syed Kirmani,88,124,22,2759,102,27,,,2,12,49,31,13,373,48*,21,616,61,0,0,,,,,,,,,,,275,383,64,9620,161,30,,,13,38,,,,,,,,,,,88,3,19,13,1,13,4,19,49,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,
33975,Ravi Shastri,80,121,14,3830,206,36,,,11,12,150,128,21,3108,109,29,5089,61,4,18,,,,,,,,,,,245,356,56,13202,217,44,,,34,66,,,,,,,,,,,80,125,15751,6185,151,41,2,104,150,136,6613,4650,129,36,4,51,,,,,,,,,,,,,,,,,,,,,
253802,Virat Kohli,77,131,8,6613,243,54,11549,57,25,20,227,219,37,10843,183,60,11664,93,41,49,67,62,17,2263,90*,50,1647,137,0,20,109,179,15,8862,243,54,15452,57,32,28,253,239,46,7911,113,41,5924,134,4,58,77,9,163,76,0,-,3,-,227,48,641,665,4,166,6,160,67,12,146,198,4,44209,44209,50,8,37,0,253,44,454,661,8,44252,44252,83,9,57
26225,Mohinder Amarnath,69,113,10,4378,138,43,,,11,24,85,75,12,1924,102*,31,3334,58,2,13,,,,,,,,,,,248,379,61,13747,207,43,,,30,67,,,,,,,,,,,69,71,3676,1782,32,56,3,115,85,64,2730,1971,46,43,4,59,,,,,,,,,,,,,,,,,,,,,
32540,Cheteshwar Pujara,68,114,8,5426,206*,51,11682,46,18,20,5,5,0,51,27,10,130,39,0,0,,,,,,,,,,,187,307,37,14729,352,55,,,49,50,64,56,10,1356,100*,29,1240,109,1,7,68,1,6,2,0,-,2,-,5,-,-,-,-,-,-,-,,,,,,,,,,,,64,-,-,-,-,-,-,-,-,-
34105,Javagal Srinath,67,92,21,1009,76,14,2037,50,0,4,229,121,38,883,53,11,1109,80,0,1,,,,,,,,,,,147,191,34,2276,76,14,,,0,7,,,,,,,,,,,67,121,15104,7196,236,30,3,64,229,227,11935,8847,315,28,4,38,,,,,,,,,,,,,,,,,,,,,
